percentile,year,variable_code,value
p99p100,1987,sptinc_z_KI,0.0992
p99p100,1988,sptinc_z_KI,0.1008
p99p100,1989,sptinc_z_KI,0.1025
p99p100,1990,sptinc_z_KI,0.1042
p99p100,1991,sptinc_z_KI,0.107
p99p100,1992,sptinc_z_KI,0.1096
p99p100,1993,sptinc_z_KI,0.1122
p99p100,1994,sptinc_z_KI,0.1147
p99p100,1995,sptinc_z_KI,0.1172
p99p100,1996,sptinc_z_KI,0.1195
p99p100,1997,sptinc_z_KI,0.1218
p99p100,1998,sptinc_z_KI,0.124
p99p100,1999,sptinc_z_KI,0.1261
p99p100,2000,sptinc_z_KI,0.1282
p99p100,2001,sptinc_z_KI,0.132
p99p100,2002,sptinc_z_KI,0.1358
p99p100,2003,sptinc_z_KI,0.1394
p99p100,2004,sptinc_z_KI,0.1429
p99p100,2005,sptinc_z_KI,0.1464
p99p100,2006,sptinc_z_KI,0.1498
p99p100,2007,sptinc_z_KI,0.1531
p99p100,2008,sptinc_z_KI,0.1564
p99p100,2009,sptinc_z_KI,0.1595
p99p100,2010,sptinc_z_KI,0.1626
p99p100,2011,sptinc_z_KI,0.1624
p99p100,2012,sptinc_z_KI,0.1622
p99p100,2013,sptinc_z_KI,0.162
p99p100,2014,sptinc_z_KI,0.1618
p99p100,2015,sptinc_z_KI,0.1617
p99p100,2016,sptinc_z_KI,0.1615
p99p100,2017,sptinc_z_KI,0.1613
p99p100,2018,sptinc_z_KI,0.1612
p99p100,2019,sptinc_z_KI,0.161
p99p100,2020,sptinc_z_KI,0.1609
p99p100,2021,sptinc_z_KI,0.1609
p99p100,2022,sptinc_z_KI,0.1609
p99p100,2023,sptinc_z_KI,0.1609
p99p100,2024,sptinc_z_KI,0.1609
p0p50,1980,sptinc_z_KI,0.2121
p0p50,1981,sptinc_z_KI,0.2117
p0p50,1982,sptinc_z_KI,0.2113
p0p50,1983,sptinc_z_KI,0.2108
p0p50,1984,sptinc_z_KI,0.2104
p0p50,1985,sptinc_z_KI,0.21
p0p50,1986,sptinc_z_KI,0.2095
p0p50,1987,sptinc_z_KI,0.209
p0p50,1988,sptinc_z_KI,0.2086
p0p50,1989,sptinc_z_KI,0.2081
p0p50,1990,sptinc_z_KI,0.2076
p0p50,1991,sptinc_z_KI,0.2075
p0p50,1992,sptinc_z_KI,0.2075
p0p50,1993,sptinc_z_KI,0.2075
p0p50,1994,sptinc_z_KI,0.2074
p0p50,1995,sptinc_z_KI,0.2074
p0p50,1996,sptinc_z_KI,0.2073
p0p50,1997,sptinc_z_KI,0.2073
p0p50,1998,sptinc_z_KI,0.2073
